emission	unit	sector	Advanced	Developing	Europe	Norway
GHG	Mt	Agriculture, forestry & fishing	0.0929008050906236	0.6081119187351651	0.4776498445100748	1.175673484320364
GHG	Mt	Business Services	0.3816573525563302	2.40995560460531	1.016385737369933	1.113259560286865
GHG	Mt	Construction	0.5939407141384738	5.116387333122762	1.814926830418346	3.8375834591716673
GHG	Mt	Electrical & machinery	0.2722640690644097	5.365605882958997	0.8823549569534669	0.0912549159609006
GHG	Mt	Electricity, gas & water	0.0625043750327687	0.3363638185954601	0.5046816606835012	1.1671875126972115
GHG	Mt	Food, beverages & tobacco	0.3328811171929457	2.596155343408057	1.9680968501838088	3.0904480318250127
GHG	Mt	Metal & metal products	0.1785016434920237	0.733406819725399	0.2959136488911561	0.9428886365385
GHG	Mt	Mining & quarrying	0.032400986576797	0.2361967565618633	0.0966460000637194	0.9976575885517168
GHG	Mt	Other manufacturing & recycl.	0.1461393858073092	2.4235890558465023	0.3614172562427156	0.0897199005551937
GHG	Mt	Petroleum, chem & non-met	0.4236643775770012	2.2489088921522384	1.2045381236879793	0.8531518077213949
GHG	Mt	Public services	0.4966533790230417	3.306393692813217	1.3939071210233664	2.29750629431954
GHG	Mt	Recreation; other services	0.0810010279126162	0.6051954886001133	0.1811398273992986	0.2907679933666595
GHG	Mt	Textiles & wearing apparel	0.1157892815852661	1.5618982473303484	0.382576151386778	0.0302858767569892
GHG	Mt	Transport	0.1572424158197002	0.6010152369188507	0.2926763907413222	2.174680641262736
GHG	Mt	Transport equipment	0.8067393353395882	3.4164601010240894	1.7787460892750562	0.2966093270076754
GHG	Mt	Wholesale, retail & hospitality	0.3710752400835232	1.845049036823102	0.9932778103995932	1.4871127000933455
GHG	Mt	Wood, paper & publishing	0.0179182150562412	0.1010578000678029	0.1478794400632265	0.0495283290829234
