sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	1.8096789342849355	930.2962358482428	167.00035785696963	1633.3164947073326	9081.318167025514	11871.65723823225	103614.53507510189	1451.5714266180396
Business Services	2.776196545981818	2107.3988396972127	420.89788472554255	292.6524738118616	9627.905932313506	17866.72708548562	78028.27215425613	3320.2642442939173
Construction	0.1149543121884978	92.65824052301728	12.86040546657086	7.215939504618525	419.44629571899634	563.0059243254685	4007.333749320088	192.9017706044944
Electrical & machinery	12.827182307028778	10610.779333360795	550.2213376870628	599.4042769392797	77951.60088852448	61579.331276940095	207630.6004322873	47757.36320392585
Electricity, gas & water	0.7131860093162375	431.84150907921054	101.69626137553291	22.14232860122757	2269.7130046183847	8482.078930843994	34893.60848348139	815.2516059699312
Food, beverages & tobacco	4.566275954649875	2121.243742599709	713.8325596776172	3021.5839278778863	12966.458019441445	53120.558613010384	140627.45918846244	3342.912790329949
Metal & metal products	6.869195525672986	5133.333504686705	471.9777662976264	221.03874929121235	29300.32576077329	48527.3477810053	167294.4446209573	121926.2441742358
Mining & quarrying	3.6182553133193753	1212.773225956848	209.6099633401647	86.08394188130289	13473.550707263725	77853.20728811734	186654.64390626285	2651.8440831741405
Other manufacturing & recycl.	3.470460471589245	2812.73566685194	984.7542420713168	259.6485649539216	13761.23373324237	17554.116617581134	72120.66333984809	11520.772659149809
Petroleum, chem & non-met	13.916314455103644	10159.207580038094	935.3359962006456	880.4790219745272	67136.40194954976	98998.02279225284	676428.7596859073	8270.13442375899
Public services	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Recreation; other services	0.090147966372275	60.59495233916849	14.043768333321086	12.013350851348935	309.5067895996429	826.0925358465761	2831.4073442441986	97.97091995105768
Textiles & wearing apparel	3.0438493781851936	2107.0114777880312	234.5794451817568	482.980742326568	19486.517137751485	23495.43371327696	128073.21950980715	3416.123061308152
Transport	1.5409255123777537	1234.988866459344	173.66872398395878	180.8460810943745	2807.9627271480704	8204.225291735092	24481.22503467653	1004.9384979937468
Transport equipment	4.930284569747244	4021.1845487327537	278.02603912394056	256.0052685301471	27923.613136699343	24790.549719274222	102361.24690360526	16838.372674017453
Wholesale, retail & hospitality	0.681532238598675	376.05348887405273	217.2331718188997	364.0278043187124	1554.8239280235844	6815.204650304767	16023.88657440302	606.9408692050071
Wood, paper & publishing	1.654298861154451	1196.8753554687885	2326.1502310612186	322.91642173626406	6439.871311304418	10447.518836699384	69719.48177253138	3160.7734141341507
