sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	1.1092359906757718	568.0823905037995	113.93690182134148	937.6805128496006	5553.6976855667945	8006.153176085639	61851.17251294007	1091.1051379228743
Business Services	3.551244296311569	2681.134827827051	655.7127749788324	356.17002627889474	15077.191281025487	23128.93552540915	104110.45003424032	8926.57549388654
Construction	6.28609785945841	4814.895034009965	842.7427318814297	473.1572216557565	31544.77736554988	39345.50717210035	190565.71337219464	22031.47015311392
Electrical & machinery	5.953142333409228	4896.526723080475	276.3094330664318	284.469354561166	35356.1351499625	29358.162598876188	99507.66228504574	24338.881166497114
Electricity, gas & water	0.5035565472878136	353.307119413722	81.79145159016996	33.596598949953744	2101.4006029666434	4245.766582095959	18670.41458879135	1693.0496619091814
Food, beverages & tobacco	4.694906615191861	2435.916206604561	758.1839941623398	2638.727273189693	15445.004243246847	49322.44559808227	157818.03544391898	5436.164758562492
Metal & metal products	0.7776196847896067	587.7441349283296	57.19508126934208	30.390385850292148	3501.4113398490945	5296.522141796031	20003.854038373087	10014.212262438472
Mining & quarrying	0.7655028482868593	456.9043591403228	61.6723802726478	39.787845141286326	3266.6904575055305	9341.185533876593	29841.44250186528	3393.3822761807733
Other manufacturing & recycl.	2.230701862366947	1784.2398969918795	586.125411888022	165.20272398850972	9267.093026611165	11937.95127795823	49067.19594639194	10086.318762275754
Petroleum, chem & non-met	3.576929551850561	2465.455107211371	223.8691595115507	218.4497773532452	17216.238424372037	30504.30969418778	179772.52776965257	2475.8160092970384
Public services	4.695341002280568	3403.777265298378	571.0499548191982	456.0432112135907	22486.26073006807	34396.39676916829	174472.52022573075	10654.395518074078
Recreation; other services	0.7452053596342876	553.936186754445	122.32375211704084	73.2175984634653	3574.579133200115	5127.432218192659	22597.536987448733	2126.291056980721
Textiles & wearing apparel	2.317704717337873	1604.6981993219615	180.80992299849504	367.7726635059472	14773.881937262357	17884.114383776334	97280.41033631087	2737.267167524724
Transport	0.9491512397624357	708.0992313801702	87.50951159371883	78.97199356195762	3852.628805829904	6568.575992989687	29551.65388388594	2800.019594919292
Transport equipment	4.991067231358243	4008.8218594917535	304.38660112571733	261.4567506800715	27452.05033689341	26930.17938711293	108970.46138514383	22491.79837507172
Wholesale, retail & hospitality	2.531298459029518	1762.7170147031245	597.823104249202	555.5792164434826	10442.719569367506	18902.31246229937	74719.17299621619	6926.310458904985
Wood, paper & publishing	0.2255878751446727	165.9757447395039	385.1702279264241	38.17928565083557	875.6722186373147	1400.397258498614	8829.60605647591	578.21819462307
