sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	2.443860235712045	793.4796439992243	121.055137172844	2415.139293119488	5753.92410502587	33537.268486269386	64428.93554507277	1142.301770514281
Business Services	4.929026204960472	3847.552266971055	845.6207614410315	476.541424249686	20379.32175033662	27669.987321246823	149853.77816028427	10197.715657715946
Construction	10.496739201138384	8667.868563496319	1358.3778382279895	777.1356550713294	34202.605838675554	47590.8310755366	230397.09524265965	25786.7178517992
Electrical & machinery	6.022233739606486	4957.360878602135	281.1278639489925	290.3761590077508	35760.579280996935	29512.87809404578	100813.09695242542	24988.91600058665
Electricity, gas & water	1.8010008282337544	1147.5481644015836	454.72881938433306	145.51352925274062	20236.939661016047	16272.378038247927	137121.7540004174	1906.2998478191823
Food, beverages & tobacco	7.654563434840415	3542.042235688232	815.2707599858973	5080.095208976968	16563.05059996547	91985.64526088518	168139.61027658643	5995.2405919502535
Metal & metal products	0.9751263098532642	773.7113263833297	64.0203380524184	35.928288975405344	3767.290359040661	5420.087029201653	21184.881595908097	15179.378118856785
Mining & quarrying	3.553933042612317	3121.8943813554074	73.36148194827355	64.37021404900436	3580.5232340932143	13437.57235773842	31376.55733329637	3771.447949860372
Other manufacturing & recycl.	2.331674661126929	1871.7340352222725	597.8927331576492	177.28792314182243	9480.243689173509	12231.06283182218	50439.4781940489	10569.84509782736
Petroleum, chem & non-met	4.372594160265693	3218.818145385904	258.5556769536193	306.35842959949304	17456.997518583892	31144.693320848342	180460.95937489075	2621.6611586950744
Public services	7.16117353500348	5505.492862731861	912.6335128673898	763.0195940498129	27433.46609207141	40367.09584864893	283594.925912436	12173.404081739129
Recreation; other services	1.058432426161568	809.3791854618005	153.95336281571036	103.76559619893732	4313.416774464506	6059.016074420816	45167.48415327369	2422.006695527936
Textiles & wearing apparel	2.3495628954463186	1620.1478006126097	181.95426796830864	388.8634170499452	14798.623019939543	18259.139228195603	97486.00019771788	2825.7677083385056
Transport	3.3946779431994534	3083.877113652337	183.51127734134676	172.37709617782218	4313.638325098775	7859.61425781733	37569.45482183911	3168.606694168932
Transport equipment	5.350811971351152	4336.083271475862	318.5173695336289	286.4773420097641	27867.27364649913	27660.52829289677	111434.94965615458	25015.18873893882
Wholesale, retail & hospitality	4.061066866354782	3043.664776722305	740.9751336900226	753.593986086781	12430.351990165447	23432.534769459347	141028.95760851653	8129.400175936235
Wood, paper & publishing	0.2591003633989962	187.08803052548652	428.6581829477673	41.36763124891964	925.1754526429957	1797.6166613753155	9172.064326059432	619.4042953348439
