sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	1.1713212517269926	180.25497830365435	5.340990618476861	1317.1334067029345	95.00796534149303	22868.759400335224	1539.4508584318294	66.19861390104163
Business Services	1.0911266342617822	909.8259695653444	180.7724453924612	106.25049016283836	4373.70966856598	3947.794000860577	36388.005244626926	1844.337865997341
Construction	3.790101761609957	3454.47790507428	490.5109706662965	289.6323265394639	1489.1672478511184	7809.566709534043	31972.034708137937	6742.220179778125
Electrical & machinery	0.0693455480262003	60.23115515108285	6.417407508286422	6.235330977456169	438.6196034474002	172.8912491589895	1325.4802946013065	856.9752915913301
Electricity, gas & water	1.162815693480833	743.3784747096255	435.2957933878505	98.13114243145856	12038.177175496348	10625.255387493768	83638.89120214777	248.2467994010211
Food, beverages & tobacco	3.0574840404173664	1053.3548305821068	52.12456741791997	2636.117939861213	712.2296754400202	46253.0842834654	8904.106645940894	855.2595136257521
Metal & metal products	0.9376538897629372	885.8468108848758	21.364736183956254	10.533518365775716	498.0549533686439	229.99513933104456	2076.355655983617	40001.42200050916
Mining & quarrying	0.9953842155065084	951.7991116693136	5.983276322247531	8.688448298077276	117.66556078164945	1444.6205547826958	502.8995614049174	212.7243821018292
Other manufacturing & recycl.	0.0832341324471525	72.35285622059203	12.29834480043286	8.015356847315022	90.80848756856024	238.7664253896714	1062.9750609354633	917.9632026073596
Petroleum, chem & non-met	0.7637474846403162	721.134504127287	26.20658892726911	90.79735135128628	153.97793428162035	627.2771031705582	569.1973347548656	264.74824712629595
Public services	2.2322634963643213	1895.705973647196	309.8991714292882	298.9648918303002	2938.0019026995533	5506.098273278984	97853.60572502742	2369.4671025570624
Recreation; other services	0.2854183465083307	234.8004503862294	34.69903347220264	28.006563494630303	463.3779650014718	820.4465991091731	19351.887395187536	408.3866607788194
Textiles & wearing apparel	0.020489787918306	12.008495571026788	1.1372991617283728	10.466747387543917	16.617418932915225	193.1665252573873	169.354432342769	112.96973109761144
Transport	2.1640881361150086	2102.901077749874	93.26192132919272	84.58474109634332	259.0454758483571	1124.1474941259942	6420.666461818516	616.2602014086979
Transport equipment	0.26888542746359	244.03772616324252	10.980478781320198	18.225955380437263	185.9559370135008	460.1735373955652	1498.5447229437557	5448.463417498731
Wholesale, retail & hospitality	1.4658966968219729	1187.568015794859	156.2236578077157	218.49652535561196	1339.3301732578734	5452.090820792981	64446.59126130733	1982.6373911075875
Wood, paper & publishing	0.0463204292940763	29.697462526455418	60.7827802478907	4.707854089044087	35.29844108188062	528.8472639100415	409.7965195929022	122.56708386847303
