sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	6.0974484179632	1497.9397591	0.2041444	6128.3119594	0.0	106030.5160048	6651.541487799999	0.0
Business Services	0.4190659469145	395.6613508	42.7898335	14.6853917	3525.0	12.3040318	15643.4544236	0.0
Construction	2.1668146087748	2140.2924788	181.3584297	87.8073031	0.0	68.8507894	1325.3725501	0.0
Electrical & machinery	0.0248140975686999	21.8962601	1.0465561	0.3865282	1175.0	0.688466	1621.1304477	0.0
Electricity, gas & water	3.0838180053537	1897.2303905	1210.3041633	252.31309070000003	34020.166745	30174.7422477	240811.6961376	0.0
Food, beverages & tobacco	0.504821229458	494.5388851	10.3308528	7.860114	0.0	248.8602885	1231.32607	0.0
Metal & metal products	4.5707430911649	4339.9695445	1.7789811000000002	7.9184737	0.0	30.9712022	5045.2195928	222762.73788
Mining & quarrying	13.8801157273726	13308.6530354	2.6622035	49.0476426	0.0	19940.1464951	140.9648208	0.0
Other manufacturing & recycl.	0.0397248036726	39.2613209	6.859162100000001	1.4717772	0.0	2.6207728	0.0801762	0.0
Petroleum, chem & non-met	6.538978335832098	6253.1371954	183.9652199	707.1314436	0.0	3516.1035826	0.4075653	0.0
Public services	0.3678697859983	275.8309501	80.87065650000001	56.0408014	235.0	15.7252159	76512.71748210001	0.0
Recreation; other services	0.0907458009421998	73.2986818	4.9374488	2.5842056	0.0	3.5431212	16663.0972646	0.0
Textiles & wearing apparel	0.0051432125888	5.1240226	0.1596341	0.0604767	0.0	0.1112686	0.0481425	0.0
Transport	20.2525108080989	19898.3725255	359.618272	573.3168929999999	0.0	6755.9447051	13042.8542111	0.0
Transport equipment	0.0438434442451	43.5175411	0.7460264	1.0292903	0.0	1.8835834	0.4008804	0.0
Wholesale, retail & hospitality	1.1926419714972	1103.9432647	78.710278	39.9319962	0.0	44.0213971	76884.1286854	0.0
Wood, paper & publishing	0.3639669488708	165.1484183	866.3359555	34.7882169	0.0	6771.401864699999	0.4008807	0.0
