year	emission	sector	region	value	unit
2012	Biomass CO2	Agriculture, forestry & fishing	Europe	89.08977270504859	kt
2012	Biomass CO2	Agriculture, forestry & fishing	Advanced	4.299377867939148	kt
2012	Biomass CO2	Agriculture, forestry & fishing	Developing	39.54937325389483	kt
2012	Biomass CO2	Agriculture, forestry & fishing	Norway	18.124714089911354	kt
2012	Biomass CO2	Business Services	Europe	532.736874188466	kt
2012	Biomass CO2	Business Services	Advanced	45.22296209580411	kt
2012	Biomass CO2	Business Services	Developing	256.7454259465806	kt
2012	Biomass CO2	Business Services	Norway	213.5486489255667	kt
2012	Biomass CO2	Construction	Europe	629.521549395768	kt
2012	Biomass CO2	Construction	Advanced	36.026862825768774	kt
2012	Biomass CO2	Construction	Developing	150.34625710996235	kt
2012	Biomass CO2	Construction	Norway	330.39638112419306	kt
2012	Biomass CO2	Electrical & machinery	Europe	212.84334755989906	kt
2012	Biomass CO2	Electrical & machinery	Advanced	27.67808882346459	kt
2012	Biomass CO2	Electrical & machinery	Developing	121.40971206029285	kt
2012	Biomass CO2	Electrical & machinery	Norway	11.046311445201345	kt
2012	Biomass CO2	Electricity, gas & water	Europe	64.48686822511193	kt
2012	Biomass CO2	Electricity, gas & water	Advanced	2.1500930810027676	kt
2012	Biomass CO2	Electricity, gas & water	Developing	10.525485214709432	kt
2012	Biomass CO2	Electricity, gas & water	Norway	299.7615537959479	kt
2012	Biomass CO2	Food, beverages & tobacco	Europe	285.2217293671878	kt
2012	Biomass CO2	Food, beverages & tobacco	Advanced	26.50038306449606	kt
2012	Biomass CO2	Food, beverages & tobacco	Developing	383.9204314840274	kt
2012	Biomass CO2	Food, beverages & tobacco	Norway	81.49099619415455	kt
2012	Biomass CO2	Metal & metal products	Europe	21.87028895476129	kt
2012	Biomass CO2	Metal & metal products	Advanced	3.2252771688021546	kt
2012	Biomass CO2	Metal & metal products	Developing	8.896117720135711	kt
2012	Biomass CO2	Metal & metal products	Norway	3.586250628197951	kt
2012	Biomass CO2	Mining & quarrying	Europe	34.64669453275066	kt
2012	Biomass CO2	Mining & quarrying	Advanced	4.163133551214035	kt
2012	Biomass CO2	Mining & quarrying	Developing	16.388767375299487	kt
2012	Biomass CO2	Mining & quarrying	Norway	11.587914455024396	kt
2012	Biomass CO2	Other manufacturing & recycl.	Europe	211.06043157331803	kt
2012	Biomass CO2	Other manufacturing & recycl.	Advanced	20.702963947458656	kt
2012	Biomass CO2	Other manufacturing & recycl.	Developing	318.12418249544737	kt
2012	Biomass CO2	Other manufacturing & recycl.	Norway	15.962850998350962	kt
2012	Biomass CO2	Petroleum, chem & non-met	Europe	137.79541373793978	kt
