year	region	emission	value	unit
2012	Europe	Biomass CO2	3895.1803327442276	kt
2012	Advanced	Biomass CO2	362.212579734169	kt
2012	Developing	Biomass CO2	2105.47128100174	kt
2012	Norway	Biomass CO2	1761.6580976740815	kt
2012	Europe	CH4	91792.5959200712	t
2012	Advanced	CH4	37304.40245029122	t
2012	Developing	CH4	338781.79110403307	t
2012	Norway	CH4	125169.45920789872	t
2012	Europe	CO2	15181.285494818148	kt
2012	Advanced	CO2	5814.247866024321	kt
2012	Developing	CO2	27825.08331292686	kt
2012	Norway	CO2	18441.72592241955	kt
2012	Europe	GHG	19.252473539309726	Mt
2012	Advanced	GHG	7.326583536270918	Mt
2012	Developing	GHG	39.85551235099989	Mt
2012	Norway	GHG	23.919404295695717	Mt
2012	Europe	HFC	576001.7399134331	t CO2-eq
2012	Advanced	HFC	101991.50920929534	t CO2-eq
2012	Developing	HFC	805049.5347074697	t CO2-eq
2012	Norway	HFC	503538.10276593466	t CO2-eq
2012	Europe	N2O	3224.7376112238653	t
2012	Advanced	N2O	1054.063747940189	t
2012	Developing	N2O	5553.411056810312	t
2012	Norway	N2O	5345.761203326078	t
2012	Europe	PFC	33250.3547072122	t CO2-eq
2012	Advanced	PFC	36325.86009249684	t CO2-eq
2012	Developing	PFC	86162.36975677495	t CO2-eq
2012	Norway	PFC	18002.44304494257	t CO2-eq
2012	Europe	SF6_NF3	37187.797134613735	t CO2-eq
2012	Advanced	SF6_NF3	50168.139132500146	t CO2-eq
2012	Developing	SF6_NF3	181673.05264111643	t CO2-eq
2012	Norway	SF6_NF3	34766.250762705255	t CO2-eq
2013	Europe	Biomass CO2	3874.695657311749	kt
2013	Advanced	Biomass CO2	411.248777706093	kt
2013	Developing	Biomass CO2	2272.133674541262	kt
2013	Norway	Biomass CO2	1714.9517956393634	kt
2013	Europe	CH4	97562.06568108479	t
2013	Advanced	CH4	34468.94418235976	t
2013	Developing	CH4	371346.2687173481	t
2013	Norway	CH4	126985.84006054838	t
2013	Europe	CO2	15684.447815275043	kt
2013	Advanced	CO2	5830.570905627752	kt
2013	Developing	CO2	29065.78485046132	kt
2013	Norway	CO2	19951.862767327748	kt
2013	Europe	GHG	19.96285537162047	Mt
2013	Advanced	GHG	7.217701924050214	Mt
2013	Developing	GHG	42.0907155817348	Mt
2013	Norway	GHG	25.538751506848133	Mt
2013	Europe	HFC	628590.1960900736	t CO2-eq
2013	Advanced	HFC	110732.01699470493	t CO2-eq
2013	Developing	HFC	956395.6966601963	t CO2-eq
2013	Norway	HFC	564841.2061905557	t CO2-eq
2013	Europe	N2O	3204.212840489275	t
2013	Advanced	N2O	867.7625795988014	t
2013	Developing	N2O	5200.224429055011	t
2013	Norway	N2O	5331.17246934461	t
