year	component	emission	sector	region	value	unit
2012	domestic	Biomass CO2	Agriculture, forestry & fishing	Europe	0.0	kt
2012	domestic	Biomass CO2	Agriculture, forestry & fishing	Advanced	0.0	kt
2012	domestic	Biomass CO2	Agriculture, forestry & fishing	Developing	0.0	kt
2012	domestic	Biomass CO2	Agriculture, forestry & fishing	Norway	7.831356453127764	kt
2012	domestic	Biomass CO2	Business Services	Europe	0.0	kt
2012	domestic	Biomass CO2	Business Services	Advanced	0.0	kt
2012	domestic	Biomass CO2	Business Services	Developing	0.0	kt
2012	domestic	Biomass CO2	Business Services	Norway	126.02062123311158	kt
2012	domestic	Biomass CO2	Construction	Europe	0.0	kt
2012	domestic	Biomass CO2	Construction	Advanced	0.0	kt
2012	domestic	Biomass CO2	Construction	Developing	0.0	kt
2012	domestic	Biomass CO2	Construction	Norway	1.860266756572292	kt
2012	domestic	Biomass CO2	Electrical & machinery	Europe	0.0	kt
2012	domestic	Biomass CO2	Electrical & machinery	Advanced	0.0	kt
2012	domestic	Biomass CO2	Electrical & machinery	Developing	0.0	kt
2012	domestic	Biomass CO2	Electrical & machinery	Norway	1.2985161503232	kt
2012	domestic	Biomass CO2	Electricity, gas & water	Europe	0.0	kt
2012	domestic	Biomass CO2	Electricity, gas & water	Advanced	0.0	kt
2012	domestic	Biomass CO2	Electricity, gas & water	Developing	0.0	kt
2012	domestic	Biomass CO2	Electricity, gas & water	Norway	277.8750552364072	kt
2012	domestic	Biomass CO2	Food, beverages & tobacco	Europe	0.0	kt
2012	domestic	Biomass CO2	Food, beverages & tobacco	Advanced	0.0	kt
2012	domestic	Biomass CO2	Food, beverages & tobacco	Developing	0.0	kt
2012	domestic	Biomass CO2	Food, beverages & tobacco	Norway	62.82950948237433	kt
2012	domestic	Biomass CO2	Metal & metal products	Europe	0.0	kt
2012	domestic	Biomass CO2	Metal & metal products	Advanced	0.0	kt
2012	domestic	Biomass CO2	Metal & metal products	Developing	0.0	kt
2012	domestic	Biomass CO2	Metal & metal products	Norway	0.3348057605098236	kt
2012	domestic	Biomass CO2	Mining & quarrying	Europe	0.0	kt
2012	domestic	Biomass CO2	Mining & quarrying	Advanced	0.0	kt
2012	domestic	Biomass CO2	Mining & quarrying	Developing	0.0	kt
2012	domestic	Biomass CO2	Mining & quarrying	Norway	0.0652401145263876	kt
2012	domestic	Biomass CO2	Other manufacturing & recycl.	Europe	0.0	kt
2012	domestic	Biomass CO2	Other manufacturing & recycl.	Advanced	0.0	kt
2012	domestic	Biomass CO2	Other manufacturing & recycl.	Developing	0.0	kt
2012	domestic	Biomass CO2	Other manufacturing & recycl.	Norway	7.21768109766107	kt
2012	domestic	Biomass CO2	Petroleum, chem & non-met	Europe	0.0	kt
2012	domestic	Biomass CO2	Petroleum, chem & non-met	Advanced	0.0	kt
2012	domestic	Biomass CO2	Petroleum, chem & non-met	Developing	0.0	kt
2012	domestic	Biomass CO2	Petroleum, chem & non-met	Norway	14.557187981673698	kt
2012	domestic	Biomass CO2	Public services	Europe	0.0	kt
2012	domestic	Biomass CO2	Public services	Advanced	0.0	kt
2012	domestic	Biomass CO2	Public services	Developing	0.0	kt
2012	domestic	Biomass CO2	Public services	Norway	18.761442462647675	kt
