year	emission	hhld_component	value	unit
2012	GHG	Heating/cooling	0.8424371843123	Mt
2012	GHG	Other	0.8911985568063	Mt
2012	GHG	Transport	4.9864380573944	Mt
2012	GHG	Households, totals	6.720073798513001	Mt
2012	Biomass CO2	Heating/cooling	2429.3841669	kt
2012	Biomass CO2	Other	2.1086237	kt
2012	Biomass CO2	Transport	153.5160482	kt
2012	Biomass CO2	Households, totals	2585.0088388	kt
2012	CO2	Heating/cooling	472.4151633	kt
2012	CO2	Other	377.3433007	kt
2012	CO2	Transport	4929.799118	kt
2012	CO2	Households, totals	5779.557582	kt
2012	CH4	Heating/cooling	12770.2572931	t
2012	CH4	Other	8754.6042794	t
2012	CH4	Transport	752.1174953	t
2012	CH4	Households, totals	22276.9790678	t
2012	N2O	Heating/cooling	46.9993087	t
2012	N2O	Other	111.8271485	t
2012	N2O	Transport	134.2628284	t
2012	N2O	Households, totals	293.0892856	t
2012	HFC	Heating/cooling	0.0	t CO2-eq
2012	HFC	Other	234099.4590891	t CO2-eq
2012	HFC	Transport	0.0	t CO2-eq
2012	HFC	Households, totals	234099.4590891	t CO2-eq
2012	PFC	Heating/cooling	0.0	t CO2-eq
2012	PFC	Other	0.0	t CO2-eq
2012	PFC	Transport	0.0	t CO2-eq
2012	PFC	Households, totals	0.0	t CO2-eq
2012	SF6_NF3	Heating/cooling	0.0	t CO2-eq
2012	SF6_NF3	Other	4992.6828415	t CO2-eq
2012	SF6_NF3	Transport	0.0	t CO2-eq
2012	SF6_NF3	Households, totals	4992.6828415	t CO2-eq
2013	GHG	Heating/cooling	0.720019121862	Mt
2013	GHG	Other	0.9028738503089	Mt
2013	GHG	Transport	4.937955056382801	Mt
2013	GHG	Households, totals	6.5608480286537	Mt
2013	Biomass CO2	Heating/cooling	1935.3454237	kt
2013	Biomass CO2	Other	2.675794	kt
2013	Biomass CO2	Transport	154.5865969	kt
2013	Biomass CO2	Households, totals	2092.6078147	kt
2013	CO2	Heating/cooling	437.368607	kt
2013	CO2	Other	375.2170506	kt
2013	CO2	Transport	4882.8105572	kt
2013	CO2	Households, totals	5695.3962149	kt
2013	CH4	Heating/cooling	9741.4926635	t
2013	CH4	Other	8924.6329252	t
2013	CH4	Transport	711.1313401	t
2013	CH4	Households, totals	19377.2569288	t
2013	N2O	Heating/cooling	37.3159256	t
2013	N2O	Other	120.2650301	t
2013	N2O	Transport	132.954044	t
2013	N2O	Households, totals	290.5349997	t
2013	HFC	Heating/cooling	0.0	t CO2-eq
2013	HFC	Other	240954.0888163	t CO2-eq
2013	HFC	Transport	0.0	t CO2-eq
2013	HFC	Households, totals	240954.0888163	t CO2-eq
2013	PFC	Heating/cooling	0.0	t CO2-eq
2013	PFC	Other	0.0	t CO2-eq
2013	PFC	Transport	0.0	t CO2-eq
2013	PFC	Households, totals	0.0	t CO2-eq
2013	SF6_NF3	Heating/cooling	0.0	t CO2-eq
