year	component	emission	sector	value	unit
2012	total_footprint	GHG	Products of agriculture, hunting and related services	2.324343500870848	Mt
2012	total_footprint	GHG	Products of forestry, logging and related services	0.01922339927924484	Mt
2012	total_footprint	GHG	Fish and other fishing products; aquaculture products; support services to fishing	0.4665321389554136	Mt
2012	total_footprint	GHG	Mining and quarrying	3.1505031453296617	Mt
2012	total_footprint	GHG	Food products, beverages and tobacco products	7.224052537323571	Mt
2012	total_footprint	GHG	Textiles, wearing apparel and leather products	3.963788168152015	Mt
2012	total_footprint	GHG	Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials	0.0925887544524074	Mt
2012	total_footprint	GHG	Paper and paper products	0.26702822066839016	Mt
2012	total_footprint	GHG	Printing and recording services	0.0033855680037319456	Mt
2012	total_footprint	GHG	Coke and refined petroleum products	0.0	Mt
2012	total_footprint	GHG	Chemicals and chemical products	0.0	Mt
2012	total_footprint	GHG	Basic pharmaceutical products and pharmaceutical preparations	5.827096921406172	Mt
2012	total_footprint	GHG	Rubber and plastics products	0.2600897479187473	Mt
2012	total_footprint	GHG	Other non-metallic mineral products	0.5568879895183216	Mt
2012	total_footprint	GHG	Basic metals	0.31450983666871124	Mt
2012	total_footprint	GHG	Fabricated metal products, except machinery and equipment	0.5451549218639902	Mt
2012	total_footprint	GHG	Computer, electronic and optical products	3.5713584626332744	Mt
2012	total_footprint	GHG	Electrical equipment	2.1807313579724448	Mt
2012	total_footprint	GHG	Machinery and equipment n.e.c.	1.5857720633494699	Mt
2012	total_footprint	GHG	Motor vehicles, trailers and semi-trailers	2.1971364308553807	Mt
2012	total_footprint	GHG	Other transport equipment	3.9015935629868013	Mt
2012	total_footprint	GHG	Furniture; other manufactured goods	3.120591768850824	Mt
2012	total_footprint	GHG	Repair and installation services of machinery and equipment	0.26527022802681754	Mt
2012	total_footprint	GHG	Electricity, gas, steam and air-conditioning	1.0008133685416196	Mt
2012	total_footprint	GHG	Natural water; water treatment and supply services	0.09233275508408176	Mt
2012	total_footprint	GHG	Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services	0.739712824080589	Mt
2012	total_footprint	GHG	Constructions and construction works	11.17280817786941	Mt
2012	total_footprint	GHG	Wholesale and retail trade and repair services of motor vehicles and motorcycles	1.3675952227482902	Mt
2012	total_footprint	GHG	Wholesale trade services, except of motor vehicles and motorcycles	1.9571867175413482	Mt
2012	total_footprint	GHG	Retail trade services, except of motor vehicles and motorcycles	1.1809953785396876	Mt
2012	total_footprint	GHG	Land transport services and transport services via pipelines	1.4721662483173494	Mt
2012	total_footprint	GHG	Water transport services	2.3367984716871626	Mt
2012	total_footprint	GHG	Air transport services	2.222311805496025	Mt
2012	total_footprint	GHG	Warehousing and support services for transportation	1.560773158400304	Mt
2012	total_footprint	GHG	Postal and courier services	0.12232508572188985	Mt
2012	total_footprint	GHG	Accommodation and food services	4.6039974923406355	Mt
2012	total_footprint	GHG	Publishing services	0.24823092571862973	Mt
2012	total_footprint	GHG	Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services	0.27943882061182135	Mt
2012	total_footprint	GHG	Telecommunications services	0.4339038928058883	Mt
2012	total_footprint	GHG	Computer programming, consultancy and related services; information services	0.5909571244753892	Mt
2012	total_footprint	GHG	Financial services, except insurance and pension funding	0.2669690219248241	Mt
2012	total_footprint	GHG	Insurance, reinsurance and pension funding services, except compulsory social security	0.1340642329006746	Mt
2012	total_footprint	GHG	Services auxiliary to financial services and insurance services	0.05488649808108974	Mt
2012	total_footprint	GHG	Real estate services (excluding imputed rents)	0.7145365952848212	Mt
2012	total_footprint	GHG	Imputed rents of owner-occupied dwellings	1.510396070617035	Mt
2012	total_footprint	GHG	Legal and accounting services; services of head offices; management consulting services	0.8787650730142142	Mt
2012	total_footprint	GHG	Architectural and engineering services; technical testing and analysis services	2.0455444669802447	Mt
2012	total_footprint	GHG	Scientific research and development services	0.40768878775775025	Mt
2012	total_footprint	GHG	Advertising and market research services	0.002077964326118349	Mt
