year	component	emission	sector	value	unit
2012	domestic_footprint	Biomass CO2	Wholesale, retail & hospitality	203.87469403255608	kt
2012	domestic_footprint	Biomass CO2	Business Services	211.75507356225495	kt
2012	domestic_footprint	Biomass CO2	Transport	65.82129374770308	kt
2012	domestic_footprint	Biomass CO2	Metal & metal products	3.535902956138609	kt
2012	domestic_footprint	Biomass CO2	Petroleum, chem & non-met	48.19217757343943	kt
2012	domestic_footprint	Biomass CO2	Electrical & machinery	10.513024246583281	kt
2012	domestic_footprint	Biomass CO2	Construction	328.7137334854647	kt
2012	domestic_footprint	Biomass CO2	Recreation; other services	41.4291034848206	kt
2012	domestic_footprint	Biomass CO2	Public services	279.84858455578717	kt
2012	domestic_footprint	Biomass CO2	Electricity, gas & water	299.68150460878184	kt
2012	domestic_footprint	Biomass CO2	Agriculture, forestry & fishing	17.957318235384598	kt
2012	domestic_footprint	Biomass CO2	Food, beverages & tobacco	80.88491946066783	kt
2012	domestic_footprint	Biomass CO2	Other manufacturing & recycl.	13.402371050046348	kt
2012	domestic_footprint	Biomass CO2	Mining & quarrying	11.47531880706661	kt
2012	domestic_footprint	Biomass CO2	Transport equipment	22.439241643022655	kt
2012	domestic_footprint	Biomass CO2	Wood, paper & publishing	107.78489858205323	kt
2012	domestic_footprint	Biomass CO2	Textiles & wearing apparel	2.3756936775069044	kt
2012	domestic_footprint	CH4	Wholesale, retail & hospitality	6145.646491617094	t
2012	domestic_footprint	CH4	Business Services	7097.265691357794	t
2012	domestic_footprint	CH4	Transport	1994.099727523389	t
2012	domestic_footprint	CH4	Metal & metal products	102.85988165954014	t
2012	domestic_footprint	CH4	Petroleum, chem & non-met	2960.1420777929397	t
2012	domestic_footprint	CH4	Electrical & machinery	371.61798951576884	t
2012	domestic_footprint	CH4	Construction	9534.709118518358	t
2012	domestic_footprint	CH4	Recreation; other services	1497.0100112563864	t
2012	domestic_footprint	CH4	Public services	7558.158966364167	t
2012	domestic_footprint	CH4	Electricity, gas & water	9933.365872261642	t
2012	domestic_footprint	CH4	Agriculture, forestry & fishing	23097.684853384002	t
2012	domestic_footprint	CH4	Food, beverages & tobacco	43980.35194112447	t
2012	domestic_footprint	CH4	Other manufacturing & recycl.	231.64285572648367	t
2012	domestic_footprint	CH4	Mining & quarrying	3148.4863581673058	t
2012	domestic_footprint	CH4	Transport equipment	842.3963526998062	t
2012	domestic_footprint	CH4	Wood, paper & publishing	505.3592971998238	t
2012	domestic_footprint	CH4	Textiles & wearing apparel	172.91171968286852	t
2012	domestic_footprint	CO2	Wholesale, retail & hospitality	1280.2021650596812	kt
2012	domestic_footprint	CO2	Business Services	1706.0886835176827	kt
2012	domestic_footprint	CO2	Transport	3723.5733211398406	kt
2012	domestic_footprint	CO2	Metal & metal products	62.62923576321043	kt
2012	domestic_footprint	CO2	Petroleum, chem & non-met	1865.460761406995	kt
2012	domestic_footprint	CO2	Electrical & machinery	112.31017019282393	kt
2012	domestic_footprint	CO2	Construction	3276.324884927577	kt
2012	domestic_footprint	CO2	Recreation; other services	282.61235152100664	kt
2012	domestic_footprint	CO2	Public services	1772.811803670224	kt
2012	domestic_footprint	CO2	Electricity, gas & water	737.512025338566	kt
2012	domestic_footprint	CO2	Agriculture, forestry & fishing	303.44653771523974	kt
