year	component	emission	value	unit
2012	domestic_footprint	GHG	23.544508018426406	Mt
2012	domestic_footprint	Biomass CO2	1749.6848537092778	kt
2012	domestic_footprint	CO2	18249.515081920083	kt
2012	domestic_footprint	CH4	119173.70920585185	t
2012	domestic_footprint	N2O	5326.165591172519	t
2012	domestic_footprint	HFC	498242.0381336088	t CO2-eq
2012	domestic_footprint	PFC	13885.40645214001	t CO2-eq
2012	domestic_footprint	SF6_NF3	34567.7524960019	t CO2-eq
2012	footprint_gross_exports	GHG	66.36980959221837	Mt
2012	footprint_gross_exports	Biomass CO2	3163.887615585984	kt
2012	footprint_gross_exports	CO2	54809.60859477393	kt
2012	footprint_gross_exports	CH4	310075.7148571949	t
2012	footprint_gross_exports	N2O	5542.420125015332	t
2012	footprint_gross_exports	HFC	932387.3608136413	t CO2-eq
2012	footprint_gross_exports	PFC	337734.52974609577	t CO2-eq
2012	footprint_gross_exports	SF6_NF3	139217.75775418174	t CO2-eq
2012	footprint_gross_imports	GHG	94.36361120997721	Mt
2012	footprint_gross_imports	Biomass CO2	8178.287471940201	kt
2012	footprint_gross_imports	CO2	68303.92805506279	kt
2012	footprint_gross_imports	CH4	709988.636579389	t
2012	footprint_gross_imports	N2O	12382.798683415771	t
2012	footprint_gross_imports	HFC	2173580.9884873736	t CO2-eq
2012	footprint_gross_imports	PFC	331219.8362103222	t CO2-eq
2012	footprint_gross_imports	SF6_NF3	393758.85488861724	t CO2-eq
2012	import_footprint	GHG	66.80946570384984	Mt
2012	import_footprint	Biomass CO2	6374.837437444941	kt
2012	import_footprint	CO2	49012.82751426878	kt
2012	import_footprint	CH4	473874.5394764423	t
2012	import_footprint	N2O	9851.808028127924	t
2012	import_footprint	HFC	1488338.848462524	t CO2-eq
2012	import_footprint	PFC	159855.62114928648	t CO2-eq
2012	import_footprint	SF6_NF3	269227.4871749336	t CO2-eq
2012	production_account	GHG	62.3601721045174	Mt
2012	production_account	Biomass CO2	3110.1224348	kt
2012	production_account	CO2	53768.0231359	kt
2012	production_account	CH4	193135.3269601	t
2012	production_account	N2O	8337.5950609	t
