sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	1.3346242450362726	225.39725349542476	7.118235351502523	1477.4587802698873	200.22641945907472	25531.11531018374	2577.763032132705	51.19663259140682
Business Services	1.3777819086489014	1166.4174391440033	189.9079864621991	120.37139797079116	5302.130469311133	4541.051795837675	45743.328126043954	1271.140163829405
Construction	4.210641341679971	3852.973529486352	515.6351063465598	303.97843341557274	2657.828473125672	8245.323903436245	39831.38187046503	3755.247698685275
Electrical & machinery	0.0690914061972577	60.834155521660776	4.818430882560742	5.906804446584836	404.4441310344253	154.71549516958817	1305.434667379684	650.0348340895359
Electricity, gas & water	1.2974442809459408	794.2410449878615	372.9373677941632	111.91693030278688	18135.539058049395	12026.61145615197	118451.33941162608	213.25018591000085
Food, beverages & tobacco	2.959656819648551	1106.12602908367	57.08676582355734	2441.367935787273	1118.046356718621	42663.19966280287	10321.574832667431	559.0758333877607
Metal & metal products	0.1975066250636573	185.9671914550001	6.8252567830762985	5.537903125113192	265.8790191915651	123.56488740562168	1181.0275575350136	5165.165856418311
Mining & quarrying	2.78843019432546	2664.990022215086	11.68910167562576	24.58236890771805	313.832776587684	4096.386823861829	1535.1148314310872	378.0656736795984
Other manufacturing & recycl.	0.1009727987599818	87.49413823039254	11.76732126962721	12.085199153312685	213.15066256234644	293.11155386395217	1372.2822476569504	483.52633555160367
Petroleum, chem & non-met	0.7956646084151321	753.3630381745326	34.68651744206865	87.90865224624781	240.7590942118515	640.3836266605609	688.4316052381915	145.8451493980361
Public services	2.465832532722912	2101.715597433483	341.58355804819166	306.97638283622206	4947.205362003338	5970.699079480645	109122.4056867052	1519.0085636650497
Recreation; other services	0.3132270665272803	255.44299870735543	31.629610698669524	30.547997735472038	738.8376412643902	931.5838562281564	22569.94716582496	295.7156385472143
Textiles & wearing apparel	0.0318581781084452	15.449601290648188	1.14434496981359	21.090753543997955	24.74108267718767	375.0248444192717	205.58986140700569	88.50054081378173
Transport	2.445526703437019	2375.7778822721684	96.00176574762789	93.4051026158646	461.009519268871	1291.0382648276443	8017.800937953164	368.58709924963966
Transport equipment	0.3597447399929083	327.2614119841091	14.13076840791154	25.020591329692568	415.2233096057192	730.3489057838356	2464.488271010741	2523.3903638670995
Wholesale, retail , Hospitality	1.529768407325263	1280.9477620191803	143.15202944082066	198.0147696432984	1987.6324207979412	4530.222307159974	66309.78461230034	1203.0897170312492
Wood, paper & publishing	0.0335124882543234	21.112285785982657	43.48795502134327	3.1883455980840782	49.50323400568098	397.2194028767017	342.45826958352234	41.18610071177399
