sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	6.0074733513025	1465.8280476999998	0.5158224	6064.3829768	0.0	104518.6816797	8060.7277189	0.0
Business Services	0.3755828633868998	351.6235773	45.2746639	13.4628782	3525.0	11.0185921	16558.1027851	0.0
Construction	2.0045029257867	1979.0787256	198.4623601	83.1099158	0.0	64.4210098	1596.2842253	0.0
Electrical & machinery	0.0295522451346	26.3324872	1.3495376	0.5644225	1175.0	0.8532905	1871.2938381	0.0
Electricity, gas & water	3.1087191770838	1819.5229038	950.2537155	261.422877	47284.1855	30874.1909268	308157.6794284	0.0
Food, beverages & tobacco	0.5410057174042	529.9037645	22.2740277	8.7089035	0.0	255.0122697	1653.7499251	0.0
Metal & metal products	4.2979146166692	4143.5501978	2.3090353	8.2687112	0.0	33.6293479	6077.95345	145153.63521
Mining & quarrying	15.083795985926402	14451.3644621	2.2794141	52.0672631	0.0	22087.1447273	193.6467405	0.0
Other manufacturing & recycl.	0.0405826914988	40.1274741	7.5399395	1.4713088	0.0	2.3305254	0.0658556	0.0
Petroleum, chem & non-met	6.4940675801327	6193.1983619	263.2915161	761.8953485999999	0.0	3534.521967	0.3357777	0.0
Public services	0.2917237801212999	196.9038875	105.5757525	50.5953224	235.0	19.0322094	80644.2303221	0.0
Recreation; other services	0.0733637442028	54.7300777	3.1339911	1.9636335	0.0	3.2626681000000004	18021.9489185	0.0
Textiles & wearing apparel	0.0053995574926	5.3700545	0.2678608	0.0954824	0.0	0.1485944	0.0395134	0.0
Transport	20.2663722971143	19911.9703007	380.6259412	576.5044445999999	0.0	6674.142728	14752.3222113	0.0
Transport equipment	0.0266808103944999	26.4906812	0.4835023	0.6043851	0.0	1.0584952	0.3292774	0.0
Wholesale, retail , Hospitality	1.1722376098271	1076.9090222	91.2529832	39.1124597	0.0	44.2269252	83725.431901	0.0
Wood, paper & publishing	0.3268565945610999	129.2622368	793.6260205	32.3486046	0.0	6750.7731523	0.3292777	0.0
