year	region	emission	value	unit
2012	Europe	Biomass CO2	3341.8372769777097	kt
2012	Advanced	Biomass CO2	239.9993442231913	kt
2012	Developing	Biomass CO2	1128.02295126844	kt
2012	Norway	Biomass CO2	4347.729100854092	kt
2012	Europe	CH4	92109.7808407011	t
2012	Advanced	CH4	26635.63219895006	t
2012	Developing	CH4	344160.3897874163	t
2012	Norway	CH4	146535.84501168772	t
2012	Europe	CO2	14117.539611074855	kt
2012	Advanced	CO2	5403.602960644922	kt
2012	Developing	CO2	22176.803837334566	kt
2012	Norway	CO2	24183.665611166	kt
2012	Europe	GHG	18.532805718144466	Mt
2012	Advanced	GHG	6.668121482343517	Mt
2012	Developing	GHG	34.77189273728839	Mt
2012	Norway	GHG	30.59005582225987	Mt
2012	Europe	HFC	603188.5618456085	t
2012	Advanced	HFC	194792.8212520529	t
2012	Developing	HFC	575763.8505270226	t
2012	Norway	HFC	734667.637074403	t
2012	Europe	N2O	3470.882434583754	t
2012	Advanced	N2O	816.6825171735397	t
2012	Developing	N2O	7358.610054771454	t
2012	Norway	N2O	5647.382889033947	t
2012	Europe	PFC	98883.69599659333	t
2012	Advanced	PFC	82836.95165640303	t
2012	Developing	PFC	277686.8918151691	t
2012	Norway	PFC	31157.78004620578	t
2012	Europe	SF6_NF3	214336.14052308304	t
2012	Advanced	SF6_NF3	24670.180168549243	t
2012	Developing	SF6_NF3	155115.5790495366	t
2012	Norway	SF6_NF3	41004.66805201067	t
2013	Europe	Biomass CO2	3569.871726218516	kt
2013	Advanced	Biomass CO2	253.12887461826304	kt
2013	Developing	Biomass CO2	1275.5144860987318	kt
2013	Norway	Biomass CO2	3807.645526818052	kt
2013	Europe	CH4	97794.37575324709	t
2013	Advanced	CH4	25510.57172197052	t
2013	Developing	CH4	372576.45160930895	t
2013	Norway	CH4	144314.86143928365	t
2013	Europe	CO2	14464.513309363887	kt
2013	Advanced	CO2	5505.341293003154	kt
2013	Developing	CO2	25663.840707736024	kt
2013	Norway	CO2	25589.06796732321	kt
2013	Europe	GHG	19.108406421403107	Mt
2013	Advanced	GHG	6.707929048981446	Mt
2013	Developing	GHG	39.18902227330955	Mt
2013	Norway	GHG	31.996313320452728	Mt
2013	Europe	HFC	623795.4480510951	t
2013	Advanced	HFC	201906.1746820623	t
2013	Developing	HFC	706763.3514824909	t
2013	Norway	HFC	802038.5632704779	t
2013	Europe	N2O	3510.1138910063432	t
2013	Advanced	N2O	742.7998268270909	t
2013	Developing	N2O	7413.148265482752	t
2013	Norway	N2O	5633.136201447052	t
2013	Europe	PFC	105725.32837859963	t
2013	Advanced	PFC	64928.645216440775	t
2013	Developing	PFC	245882.66766886666	t
2013	Norway	PFC	27262.58435962174	t
2013	Europe	SF6_NF3	245949.6334019245	t
2013	Advanced	SF6_NF3	24614.973755434803	t
2013	Developing	SF6_NF3	175910.61100858625	t
2013	Norway	SF6_NF3	44346.99181599881	t
2014	Europe	Biomass CO2	3102.3539144602405	kt
2014	Advanced	Biomass CO2	251.98884466399045	kt
2014	Developing	Biomass CO2	966.6213731345566	kt
2014	Norway	Biomass CO2	3063.342341147935	kt
2014	Europe	CH4	92881.30822787444	t
2014	Advanced	CH4	31054.977167232006	t
2014	Developing	CH4	337116.14855073544	t
2014	Norway	CH4	139161.1685861788	t
2014	Europe	CO2	12983.131891411484	kt
2014	Advanced	CO2	5474.522912915521	kt
2014	Developing	CO2	23037.5845729686	kt
2014	Norway	CO2	24930.26042605523	kt
2014	Europe	GHG	17.60135331253442	Mt
2014	Advanced	GHG	6.873754921295174	Mt
2014	Developing	GHG	35.42106782304649	Mt
2014	Norway	GHG	31.12935846327696	Mt
2014	Europe	HFC	648382.8885320388	t
2014	Advanced	HFC	215730.24377808793	t
2014	Developing	HFC	727916.0525998716	t
2014	Norway	HFC	779097.3921957834	t
2014	Europe	N2O	3725.6842059689343	t
2014	Advanced	N2O	906.5746440791803	t
2014	Developing	N2O	7247.410336099425	t
2014	Norway	N2O	5500.147653409775	t
2014	Europe	PFC	127817.00298771675	t
2014	Advanced	PFC	47665.802511162576	t
2014	Developing	PFC	220369.925724287	t
2014	Norway	PFC	27856.183616623977	t
2014	Europe	SF6_NF3	254038.58464093157	t
2014	Advanced	SF6_NF3	26054.320726922968	t
2014	Developing	SF6_NF3	75381.37326679702	t
2014	Norway	SF6_NF3	38092.61284272622	t
2015	Europe	Biomass CO2	3620.737116068252	kt
2015	Advanced	Biomass CO2	244.42241130683283	kt
2015	Developing	Biomass CO2	1076.0556941250834	kt
2015	Norway	Biomass CO2	3351.0905778252263	kt
2015	Europe	CH4	90090.89256709577	t
2015	Advanced	CH4	24849.486424970106	t
2015	Developing	CH4	312153.13123839116	t
2015	Norway	CH4	138114.33695923092	t
2015	Europe	CO2	11584.5521173954	kt
2015	Advanced	CO2	4983.366714631565	kt
2015	Developing	CO2	20512.03575988602	kt
2015	Norway	CO2	26493.28971795482	kt
2015	Europe	GHG	16.063423776576247	Mt
