src	agg
"Products of agriculture, hunting and related services"	"Agriculture, forestry & fishing"
"Products of forestry, logging and related services"	"Agriculture, forestry & fishing"
Fish and other fishing products; aquaculture products; support services to fishing	"Agriculture, forestry & fishing"
Mining and quarrying	Mining & quarrying
"Food products, beverages and tobacco products"	"Food, beverages & tobacco"
"Textiles, wearing apparel and leather products"	Textiles & wearing apparel
"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials"	"Wood, paper & publishing"
Paper and paper products	"Wood, paper & publishing"
Printing and recording services	"Wood, paper & publishing"
Coke and refined petroleum products	"Petroleum, chem & non-met"
Chemicals and chemical products	"Petroleum, chem & non-met"
Basic pharmaceutical products and pharmaceutical preparations	"Petroleum, chem & non-met"
Rubber and plastics products	"Petroleum, chem & non-met"
Other non-metallic mineral products	"Petroleum, chem & non-met"
Basic metals	Metal & metal products
"Fabricated metal products, except machinery and equipment"	Metal & metal products
"Computer, electronic and optical products"	Electrical & machinery
Electrical equipment	Electrical & machinery
Machinery and equipment n.e.c.	Electrical & machinery
"Motor vehicles, trailers and semi-trailers"	Transport equipment
Other transport equipment	Transport equipment
Furniture; other manufactured goods	Other manufacturing & recycl.
Repair and installation services of machinery and equipment	Other manufacturing & recycl.
"Electricity, gas, steam and air-conditioning"	"Electricity, gas & water"
Natural water; water treatment and supply services	"Electricity, gas & water"
"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services "	"Electricity, gas & water"
Constructions and construction works	Construction
Wholesale and retail trade and repair services of motor vehicles and motorcycles	"Wholesale, retail , Hospitality"
"Wholesale trade services, except of motor vehicles and motorcycles"	"Wholesale, retail , Hospitality"
"Retail trade services, except of motor vehicles and motorcycles"	"Wholesale, retail , Hospitality"
Land transport services and transport services via pipelines	Transport
Water transport services	Transport
Air transport services	Transport
Warehousing and support services for transportation	Transport
Postal and courier services	Business Services
Accommodation and food services	"Wholesale, retail , Hospitality"
Publishing services	Business Services
"Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services"	Business Services
Telecommunications services	Business Services
"Computer programming, consultancy and related services; information services"	Business Services
"Financial services, except insurance and pension funding"	Business Services
"Insurance, reinsurance and pension funding services, except compulsory social security"	Business Services
Services auxiliary to financial services and insurance services	Business Services
Real estate services (excluding imputed rents)	Business Services
Imputed rents of owner-occupied dwellings	Business Services
Legal and accounting services; services of head offices; management consulting services	Business Services
Architectural and engineering services; technical testing and analysis services	Business Services
Scientific research and development services	Business Services
Advertising and market research services	Business Services
"Other professional, scientific and technical services; veterinary services"	Business Services
Rental and leasing services	Business Services
Employment services	Business Services
"Travel agency, tour operator and other reservation services and related services"	Business Services
"Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services"	Business Services
Public administration and defence services; compulsory social security services	Public services
Education services	Public services
Human health services	Public services
Social work services	Public services
"Creative, arts and entertainment services; library, archive, museum and other cultural services; gambling and betting services"	Recreation; other services
Sporting services and amusement and recreation services	Recreation; other services
Services furnished by membership organisations	Recreation; other services
Repair services of computers and personal and household goods	Recreation; other services
Other personal services	Recreation; other services
Services of households as employers; undifferentiated goods and services produced by households for own use 	Recreation; other services
Services provided by extraterritorial organisations and bodies	Recreation; other services
