sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	1.3346242450362726	225.39725349542476	7.118235351502523	1477.4587802698873	200.22641945907472	25531.11531018374	2577.763032132705	51.19663259140682
Business Services	1.3777819086489016	1166.4174391440035	189.90798646219912	120.37139797079118	5302.130469311133	4541.051795837675	45743.328126043954	1271.140163829405
Construction	4.21064134167997	3852.973529486352	515.6351063465598	303.9784334155728	2657.828473125671	8245.323903436245	39831.38187046503	3755.247698685275
Electrical & machinery	0.0690914061972578	60.834155521660776	4.818430882560742	5.906804446584836	404.4441310344253	154.71549516958817	1305.434667379684	650.034834089536
Electricity, gas & water	1.2974442809459408	794.2410449878615	372.9373677941632	111.91693030278688	18135.539058049395	12026.61145615197	118451.33941162608	213.25018591000085
Food, beverages & tobacco	2.9596568196485524	1106.12602908367	57.08676582355734	2441.3679357872747	1118.046356718621	42663.1996628029	10321.574832667431	559.0758333877607
Metal & metal products	0.1975066250636573	185.9671914550001	6.825256783076299	5.5379031251131945	265.87901919156513	123.56488740562176	1181.0275575350136	5165.165856418311
Mining & quarrying	2.78843019432546	2664.990022215086	11.68910167562576	24.58236890771805	313.832776587684	4096.386823861829	1535.1148314310872	378.0656736795984
Other manufacturing & recycl.	0.1009727987599818	87.49413823039252	11.76732126962721	12.085199153312685	213.15066256234647	293.11155386395217	1372.2822476569502	483.5263355516036
Petroleum, chem & non-met	0.7956646084151323	753.3630381745328	34.686517442068656	87.90865224624783	240.7590942118515	640.383626660561	688.4316052381917	145.84514939803614
Public services	2.465832532722912	2101.715597433483	341.5835580481916	306.976382836222	4947.2053620033375	5970.699079480645	109122.40568670524	1519.0085636650497
Recreation; other services	0.3132270665272803	255.44299870735549	31.62961069866953	30.54799773547204	738.8376412643902	931.5838562281564	22569.94716582496	295.7156385472144
Textiles & wearing apparel	0.0318581781084452	15.449601290648191	1.1443449698135906	21.090753543997973	24.741082677187684	375.024844419272	205.58986140700569	88.50054081378173
Transport	2.445526703437019	2375.7778822721684	96.00176574762789	93.4051026158646	461.00951926887086	1291.0382648276443	8017.800937953162	368.58709924963966
Transport equipment	0.3597447399929084	327.26141198410915	14.13076840791154	25.02059132969257	415.2233096057192	730.3489057838358	2464.488271010741	2523.390363867099
Wholesale, retail , Hospitality	1.529768407325263	1280.9477620191803	143.15202944082068	198.0147696432984	1987.6324207979417	4530.222307159974	66309.78461230034	1203.0897170312492
Wood, paper & publishing	0.0335124882543234	21.112285785982657	43.48795502134326	3.1883455980840782	49.503234005680966	397.2194028767017	342.45826958352234	41.18610071177399
