sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	1.9149797640714732	1294.7441569055868	126.47481499196508	649.0297846493928	7608.794010655464	14314.762800813434	33530.605201133454	6289.956599231742
Business Services	0.955667496701224	743.715242878507	176.49384803117658	111.6122950648576	6224.811150609197	5158.524607827974	26549.16802757126	5162.327433166865
Construction	0.0600090087151839	48.82744965100949	8.102785215293817	5.1060255235433285	422.2500215647887	266.2870863355403	1567.9232239811126	382.250637494395
Electrical & machinery	1.6381176051949788	1290.859710273198	101.56461263910238	109.54689728463325	13033.144331123713	7754.809579265846	43915.903575478405	44144.25101530723
Electricity, gas & water	0.3789234073795884	214.8866001626664	82.06273072844414	35.188051940905055	4159.081158737641	4028.428872119386	36290.505698864	1466.3781756377998
Food, beverages & tobacco	2.4432211718797	1074.1695313279183	182.07621601070943	1691.6370626150274	9550.868507310492	30908.20139333983	40380.67065425023	5406.640783723634
Metal & metal products	6.230781851447097	5344.38670445205	194.25185131384825	146.56852651000406	24485.427067612985	17717.589410624838	90376.12407934108	236600.43282544636
Mining & quarrying	13.65977601446009	12514.35716919422	205.0647321752943	301.08988916731363	22753.54324042113	32823.608951861745	82009.03229212522	41806.398451861656
Other manufacturing & recycl.	0.2032478058709302	154.77334078145884	24.09629320948239	19.89884122738038	1558.05046492066	1105.1917213318009	5914.334819651529	4783.518682353173
Petroleum, chem & non-met	6.790984775124876	5269.768120435182	304.80821689380366	724.1550469616651	31548.66084393001	41122.05692402906	133933.54397010076	12415.76855800879
Public services	0.0248757492538328	18.77590509416897	3.395071568125971	3.857887575379368	150.95016621943518	139.4988252055294	894.7441165693303	125.84256364479248
Recreation; other services	0.014359863237491	10.729944102676315	2.0873165543690986	1.845486821483564	92.83799864762614	83.44231865561672	630.4909706690355	81.15123544779192
Textiles & wearing apparel	0.0874139119043851	53.27870841687552	6.4647713040956205	31.199981709296733	389.7839395571859	813.3706986206196	2120.588747955397	582.4560856561317
Transport	17.75419791278483	16527.40139254518	336.3530434869209	754.0095624299015	22325.75989775845	31068.26349935246	120596.84668327984	14150.001632808358
Transport equipment	0.6681862349503428	534.5223836958323	34.492537914872486	43.82386502405383	5789.916650145052	3140.7030910498333	15400.004272138576	12920.919551457384
Wholesale, retail , Hospitality	1.1310555297235727	856.2483060484012	192.98680070983363	183.30837327143857	6538.284847890167	5964.146512597252	47228.32216363918	5467.795393987743
Wood, paper & publishing	0.448115065227194	294.04175311702977	599.8117187391346	55.43304500033748	3313.876897811556	4225.428424406423	15078.263294426324	2679.419109456877
