sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	2.1207593330770047	841.1906517311077	148.8094602958068	2252.687384497866	23458.80370547827	20395.98861031893	80941.42718272046	7118.612476833802
Business Services	2.995623034787768	2399.695841355844	517.7724064359927	289.5141311899453	18887.121441548883	15171.641519832598	69091.33394685158	6421.530722875656
Construction	0.102474555893324	81.74469473572691	8.736423807830217	5.616149259668409	1923.026060081891	471.2072923576504	3506.4624638389323	618.288893849928
Electrical & machinery	8.354397792011156	6754.183268280933	411.347503186905	555.1790794213906	70208.22723524063	39832.47410736768	187008.26102438645	80566.30441763364
Electricity, gas & water	0.6388129301406287	359.8982437070774	69.36587394855832	19.232426014946608	6041.836560052604	7859.417129029807	34067.34101604289	13645.236350660354
Food, beverages & tobacco	4.9922049869305125	2078.6743918525144	561.0274041488617	3492.672757573569	31450.455731901133	64915.013723201126	127724.18088368536	11177.293455783669
Metal & metal products	6.841277071545598	5191.408109032168	242.3887815304324	264.2568212076772	72642.23891616771	33026.96947538694	204868.94402156095	377574.5766448352
Mining & quarrying	3.266654339046981	1601.9754437923382	74.96077108689377	89.03594012678293	40013.28520353003	52459.59130390661	125842.6229398383	6359.906468292112
Other manufacturing & recycl.	1.9163596814221344	1485.4212727020608	471.867733608815	156.635945500761	17129.652258793336	10851.1649563827	53003.75285001204	15463.859274852197
Petroleum, chem & non-met	15.718958692120117	10392.040694916375	740.5482737194641	1950.081595732808	144028.88770851333	139050.14244092492	736615.979117163	36097.51916296511
Public services	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Recreation; other services	0.0608881972518519	43.57905941697485	10.989669065388435	10.556533230932544	281.2923355942504	453.5977588501052	1382.9435293979575	146.68341588483543
Textiles & wearing apparel	3.5292638938818874	2444.3323859065704	179.47852131412483	685.9972838627424	11904.518576088458	28119.606052428106	98335.91657291623	5552.823134699013
Transport	1.6163601168399055	1330.1419009080694	113.8111814209481	117.2395500356794	6008.217708306946	8023.5187524835	22264.78246761377	2218.2099269229425
Transport equipment	5.124163156161135	4153.117384877907	265.94410067677217	320.9586477899847	63420.84904247274	23288.374386380783	122887.80488048808	47608.59287725839
Wholesale, retail , Hospitality	0.4892419667327544	276.2277290128921	116.5962559472759	259.5271110997191	2925.7153762616235	4501.23605692585	13629.868769671062	1649.3595385803342
Wood, paper & publishing	1.6030837428996054	1109.791324901665	2658.466399675493	258.869811343775	30616.027499573465	9375.973367718409	124377.98436121744	7170.651834934181
