sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	1.2950967430203135	521.8485846634348	96.9620380855952	1296.8732566514398	14197.675678976364	12870.293940165122	50224.05201699128	4786.787323655775
Business Services	3.3498000443177425	2531.5758393980927	651.2236450379139	369.4730623055426	29057.478712609933	20163.989237725094	105700.07109294382	20964.594946825426
Construction	5.224246838011601	3822.8760978073233	755.1309477667229	496.8728189311565	64482.13318894023	33631.848087381055	207203.19276277808	56322.37078913118
Electrical & machinery	3.989077527253782	3212.789179658602	201.58050284622004	266.1524196185193	32937.730516634176	19133.01731781213	91544.35834869588	45551.38263220375
Electricity, gas & water	0.462096576375208	311.7245274991666	68.47809199220234	41.07399415879891	4415.198436554607	3898.771359524378	18956.022888421747	6950.621032301133
Food, beverages & tobacco	5.065528960716749	2358.5598396134515	644.4670334577327	3134.9159304723808	36789.20745960283	59824.30763676457	147075.429478459	17271.148760649143
Metal & metal products	0.7769053955358223	589.9370472817996	35.1545748814384	37.54670960513703	9894.94164642568	4087.9352389741225	22521.77881310549	30139.56305785524
Mining & quarrying	0.7751414137865705	505.97605042222574	43.55632934689981	55.11474883565312	7953.535312247985	7475.001715477764	27023.27927693781	10283.092300333275
Other manufacturing & recycl.	1.3786509373216675	1052.3019689665252	284.2337696815251	117.14701888160516	12612.5484414926	7948.306392415383	40523.22912331706	19616.651799077317
Petroleum, chem & non-met	4.058079218047438	2597.9177570558395	173.62273731520798	494.72594280241526	36089.108680586425	39112.022969065736	187970.9019843792	9862.432350152283
Public services	4.508812026842112	3088.138793204421	499.33818617622615	640.6752085682524	38590.3547711478	36214.32144155845	171997.1884499388	26305.75978237965
Recreation; other services	0.6201725940172517	444.52594097877625	103.01526190530758	83.16353958450516	5118.836334536567	4409.597060601304	20397.765395172097	4622.995622036748
Textiles & wearing apparel	2.680280627349928	1854.8368112230112	139.035541966902	521.9507250426723	9229.582686285325	21364.669413646567	75010.86316795225	4675.68455426672
Transport	0.9865468927515216	726.1356207429643	70.64784680959121	94.35716188842405	7476.483033093986	6775.641448063957	30284.167566659977	7928.012962580733
Transport equipment	5.122766032470349	4095.432990342907	273.9761699692399	327.4742301469428	61562.25988055635	24468.950269293597	128638.99419484404	65220.50952288064
Wholesale, retail , Hospitality	2.27862416245573	1550.4122916712704	507.3521664553453	528.0686557453521	21714.48222894153	16758.455064044414	77833.32821938186	19489.124770374445
Wood, paper & publishing	0.229331535492003	159.60151883154134	448.6625163237016	42.385710744911535	3615.7536261824407	1357.3215561945344	15502.229635390317	1374.8164780404504
