year	emission	region	sector	value	unit
2012	Biomass CO2	Europe	Agriculture, forestry & fishing	56.45890015218293	kt
2012	Biomass CO2	Advanced	Agriculture, forestry & fishing	3.1122003309189883	kt
2012	Biomass CO2	Developing	Agriculture, forestry & fishing	23.713460499180535	kt
2012	Biomass CO2	Norway	Agriculture, forestry & fishing	18.102334958886367	kt
2012	Biomass CO2	Europe	Business Services	464.73603782118977	kt
2012	Biomass CO2	Advanced	Business Services	29.16569140632236	kt
2012	Biomass CO2	Developing	Business Services	128.70091637589178	kt
2012	Biomass CO2	Norway	Business Services	213.78530690941102	kt
2012	Biomass CO2	Europe	Construction	535.6225370932873	kt
2012	Biomass CO2	Advanced	Construction	20.15743170267126	kt
2012	Biomass CO2	Developing	Construction	74.18817320800567	kt
2012	Biomass CO2	Norway	Construction	330.38388730809027	kt
2012	Biomass CO2	Europe	Electrical & machinery	118.929688046434	kt
2012	Biomass CO2	Advanced	Electrical & machinery	19.768242736077937	kt
2012	Biomass CO2	Developing	Electrical & machinery	49.610336336664005	kt
2012	Biomass CO2	Norway	Electrical & machinery	11.099083960973246	kt
2012	Biomass CO2	Europe	Electricity, gas & water	42.612265054204116	kt
2012	Biomass CO2	Advanced	Electricity, gas & water	1.4054153831580851	kt
2012	Biomass CO2	Developing	Electricity, gas & water	6.963488993620742	kt
2012	Biomass CO2	Norway	Electricity, gas & water	299.77833868508003	kt
2012	Biomass CO2	Europe	Food, beverages & tobacco	239.34889036914757	kt
2012	Biomass CO2	Advanced	Food, beverages & tobacco	18.460320178074735	kt
2012	Biomass CO2	Developing	Food, beverages & tobacco	202.79325829983782	kt
2012	Biomass CO2	Norway	Food, beverages & tobacco	81.86577152753013	kt
2012	Biomass CO2	Europe	Metal & metal products	15.54466316603164	kt
2012	Biomass CO2	Advanced	Metal & metal products	2.146596561550768	kt
2012	Biomass CO2	Developing	Metal & metal products	4.164522963230271	kt
2012	Biomass CO2	Norway	Metal & metal products	3.5999746553522742	kt
2012	Biomass CO2	Europe	Mining & quarrying	28.669120120073423	kt
2012	Biomass CO2	Advanced	Mining & quarrying	3.261530333676505	kt
2012	Biomass CO2	Developing	Mining & quarrying	11.625750061647432	kt
2012	Biomass CO2	Norway	Mining & quarrying	11.583145625769156	kt
2012	Biomass CO2	Europe	Other manufacturing & recycl.	110.43009363914257	kt
2012	Biomass CO2	Advanced	Other manufacturing & recycl.	5.6456941936827265	kt
2012	Biomass CO2	Developing	Other manufacturing & recycl.	101.03509219398062	kt
2012	Biomass CO2	Norway	Other manufacturing & recycl.	14.201998606161341	kt
2012	Biomass CO2	Europe	Petroleum, chem & non-met	132.54206952522094	kt
2012	Biomass CO2	Advanced	Petroleum, chem & non-met	23.43591662389077	kt
2012	Biomass CO2	Developing	Petroleum, chem & non-met	40.915079294463325	kt
2012	Biomass CO2	Norway	Petroleum, chem & non-met	48.62734172902081	kt
2012	Biomass CO2	Europe	Public services	322.6094708185422	kt
2012	Biomass CO2	Advanced	Public services	21.919478016194503	kt
2012	Biomass CO2	Developing	Public services	72.8031156641709	kt
2012	Biomass CO2	Norway	Public services	281.11669935113184	kt
