year	region	emission	value	unit
2012	AT	Biomass CO2	57.183949867854395	kt
2012	AU	Biomass CO2	17.88268740060148	kt
2012	BE	Biomass CO2	39.626099649630014	kt
2012	BG	Biomass CO2	9.73360396772498	kt
2012	BR	Biomass CO2	223.74720446926156	kt
2012	CA	Biomass CO2	56.257244481635055	kt
2012	CH	Biomass CO2	18.107591115531644	kt
2012	CN	Biomass CO2	55.12275108311809	kt
2012	CY	Biomass CO2	0.29985763088983036	kt
2012	CZ	Biomass CO2	34.39494612213932	kt
2012	DE	Biomass CO2	200.35583987276817	kt
2012	DK	Biomass CO2	306.3012988855737	kt
2012	EE	Biomass CO2	60.95905772876758	kt
2012	ES	Biomass CO2	40.58997702811645	kt
2012	FI	Biomass CO2	338.27971344122784	kt
2012	FR	Biomass CO2	51.775520952342774	kt
2012	GB	Biomass CO2	82.90987317418683	kt
2012	GR	Biomass CO2	3.3799238781672813	kt
2012	HR	Biomass CO2	2.0366180662670996	kt
2012	HU	Biomass CO2	10.058758714634116	kt
2012	ID	Biomass CO2	97.46836149024405	kt
2012	IE	Biomass CO2	14.300246955298316	kt
2012	IN	Biomass CO2	196.24542162491332	kt
2012	IT	Biomass CO2	35.115290910235025	kt
2012	JP	Biomass CO2	14.248658836573096	kt
2012	KR	Biomass CO2	7.149362127368957	kt
2012	LT	Biomass CO2	41.62257440702887	kt
2012	LU	Biomass CO2	4.846104281086093	kt
2012	LV	Biomass CO2	97.35051640510808	kt
2012	MT	Biomass CO2	0.09316062744566746	kt
2012	MX	Biomass CO2	1.2803091554854213	kt
2012	NL	Biomass CO2	32.558101917947674	kt
2012	NO	Biomass CO2	1762.7202620540932	kt
2012	PL	Biomass CO2	141.45192969400102	kt
2012	PT	Biomass CO2	36.2026464857564	kt
2012	RO	Biomass CO2	6.880137837895199	kt
2012	RU	Biomass CO2	13.86156127113973	kt
2012	SE	Biomass CO2	1634.3247427659117	kt
2012	SI	Biomass CO2	3.702133069756671	kt
2012	SK	Biomass CO2	17.069359769539478	kt
2012	TR	Biomass CO2	0.5377488917142103	kt
2012	TW	Biomass CO2	5.77080615828018	kt
2012	US	Biomass CO2	138.6905852187325	kt
2012	WA	Biomass CO2	219.3768599455329	kt
2012	WE	Biomass CO2	20.32770175487767	kt
2012	WF	Biomass CO2	237.18670579180144	kt
2012	WL	Biomass CO2	70.93850985042383	kt
2012	WM	Biomass CO2	2.296650910165946	kt
2012	ZA	Biomass CO2	9.960866784639466	kt
2012	AT	CH4	1012.1130221093989	t
2012	AU	CH4	7991.89669804868	t
2012	BE	CH4	1652.2338033523788	t
2012	BG	CH4	927.3496458487683	t
2012	BR	CH4	9581.814637398666	t
2012	CA	CH4	6069.710080091059	t
2012	CH	CH4	567.1138140130266	t
