year	region	emission	value	unit
2012	Europe	Biomass CO2	3321.509575222832	kt
2012	Advanced	Biomass CO2	239.9993442231913	kt
2012	Developing	Biomass CO2	1148.3506530233176	kt
2012	Norway	Biomass CO2	1762.7202620540932	kt
2012	Europe	CH4	79950.10854182616	t
2012	Advanced	CH4	26635.63219895006	t
2012	Developing	CH4	356320.06208629126	t
2012	Norway	CH4	124258.86594388772	t
2012	Europe	CO2	13082.194300095194	kt
2012	Advanced	CO2	5403.602960644922	kt
2012	Developing	CO2	23212.149148314227	kt
2012	Norway	CO2	18404.108029166	kt
2012	Europe	GHG	17.04356714564843	Mt
2012	Advanced	GHG	6.668121482343517	Mt
2012	Developing	GHG	36.261131309784425	Mt
2012	Norway	GHG	23.86998202374687	Mt
2012	Europe	HFC	583363.6755063963	t
2012	Advanced	HFC	194792.82125205288	t
2012	Developing	HFC	595588.7368662348	t
2012	Norway	HFC	500568.1779853029	t
2012	Europe	N2O	3130.433519758445	t
2012	Advanced	N2O	816.6825171735397	t
2012	Developing	N2O	7699.058969596765	t
2012	Norway	N2O	5354.293603433948	t
2012	Europe	PFC	96442.88599925206	t
2012	Advanced	PFC	82836.95165640303	t
2012	Developing	PFC	280127.7018125103	t
2012	Norway	PFC	31157.780046205786	t
2012	Europe	SF6_NF3	213398.36214046658	t
2012	Advanced	SF6_NF3	24670.180168549243	t
2012	Developing	SF6_NF3	156053.35743215308	t
2012	Norway	SF6_NF3	36011.98521051068	t
2013	Europe	Biomass CO2	3547.8758999609204	kt
2013	Advanced	Biomass CO2	253.12887461826304	kt
2013	Developing	Biomass CO2	1297.5103123563276	kt
2013	Norway	Biomass CO2	1715.0377121180516	kt
2013	Europe	CH4	86766.31465679871	t
2013	Advanced	CH4	25510.57172197052	t
2013	Developing	CH4	383604.51270575734	t
2013	Norway	CH4	124937.60451048362	t
2013	Europe	CO2	13504.24742430418	kt
2013	Advanced	CO2	5505.341293003154	kt
2013	Developing	CO2	26624.10659279573	kt
2013	Norway	CO2	19893.671752423208	kt
2013	Europe	GHG	17.72695505531212	Mt
2013	Advanced	GHG	6.707929048981445	Mt
2013	Developing	GHG	40.570473639400525	Mt
2013	Norway	GHG	25.435465291799023	Mt
2013	Europe	HFC	603940.3708395868	t
2013	Advanced	HFC	201906.1746820623	t
2013	Developing	HFC	726618.4286939992	t
2013	Norway	HFC	561084.4744541779	t
2013	Europe	N2O	3173.2992055481427	t
2013	Advanced	N2O	742.7998268270908	t
2013	Developing	N2O	7749.962950940952	t
2013	Norway	N2O	5342.60120174705	t
2013	Europe	PFC	103459.46452312435	t
2013	Advanced	PFC	64928.645216440775	t
2013	Developing	PFC	248148.53152434193	t
2013	Norway	PFC	27262.58435962174	t
2013	Europe	SF6_NF3	244926.69578461	t
2013	Advanced	SF6_NF3	24614.973755434803	t
2013	Developing	SF6_NF3	176933.54862590073	t
2013	Norway	SF6_NF3	39404.2358054988	t
2014	Europe	Biomass CO2	3078.776616927967	kt
2014	Advanced	Biomass CO2	251.98884466399045	kt
2014	Developing	Biomass CO2	990.19867066683	kt
2014	Norway	Biomass CO2	1235.1652846479349	kt
2014	Europe	CH4	81423.49907299069	t
2014	Advanced	CH4	31054.977167232	t
2014	Developing	CH4	348573.95770561916	t
2014	Norway	CH4	121513.08237607878	t
2014	Europe	CO2	12072.70586353543	kt
2014	Advanced	CO2	5474.522912915521	kt
2014	Developing	CO2	23948.010600844653	kt
2014	Norway	CO2	19335.96530935523	kt
2014	Europe	GHG	16.25006939209497	Mt
