year	component	sector	category	emission	value	unit
2012	domestic_footprint	Wholesale, retail , Hospitality	Changes in inventories	Biomass CO2	16.856698876413894	kt
2012	domestic_footprint	Business Services	Changes in inventories	Biomass CO2	39.27257517062525	kt
2012	domestic_footprint	Transport	Changes in inventories	Biomass CO2	4.168633059461351	kt
2012	domestic_footprint	Metal & metal products	Changes in inventories	Biomass CO2	0.0	kt
2012	domestic_footprint	Petroleum, chem & non-met	Changes in inventories	Biomass CO2	29.574298547140554	kt
2012	domestic_footprint	Electrical & machinery	Changes in inventories	Biomass CO2	2.643198179912952	kt
2012	domestic_footprint	Construction	Changes in inventories	Biomass CO2	47.63045020065205	kt
2012	domestic_footprint	Recreation; other services	Changes in inventories	Biomass CO2	0.3144870140284075	kt
2012	domestic_footprint	Public services	Changes in inventories	Biomass CO2	0.20407294558684408	kt
2012	domestic_footprint	Electricity, gas & water	Changes in inventories	Biomass CO2	0.1040252543875551	kt
2012	domestic_footprint	Agriculture, forestry & fishing	Changes in inventories	Biomass CO2	9.330224085609588	kt
2012	domestic_footprint	Food, beverages & tobacco	Changes in inventories	Biomass CO2	16.98262049079688	kt
2012	domestic_footprint	Other manufacturing & recycl.	Changes in inventories	Biomass CO2	0.0	kt
2012	domestic_footprint	Mining & quarrying	Changes in inventories	Biomass CO2	4.364819108288191	kt
2012	domestic_footprint	Transport equipment	Changes in inventories	Biomass CO2	0.1038334858192229	kt
2012	domestic_footprint	Wood, paper & publishing	Changes in inventories	Biomass CO2	0.0	kt
2012	domestic_footprint	Textiles & wearing apparel	Changes in inventories	Biomass CO2	0.0	kt
2012	domestic_footprint	Wholesale, retail , Hospitality	Changes in inventories	CH4	526.149799689955	t
2012	domestic_footprint	Business Services	Changes in inventories	CH4	1525.584974448504	t
2012	domestic_footprint	Transport	Changes in inventories	CH4	393.6264747611274	t
2012	domestic_footprint	Metal & metal products	Changes in inventories	CH4	0.0	t
2012	domestic_footprint	Petroleum, chem & non-met	Changes in inventories	CH4	1948.1821247543037	t
2012	domestic_footprint	Electrical & machinery	Changes in inventories	CH4	90.16586704165995	t
2012	domestic_footprint	Construction	Changes in inventories	CH4	1381.574426574341	t
2012	domestic_footprint	Recreation; other services	Changes in inventories	CH4	11.37638878839444	t
2012	domestic_footprint	Public services	Changes in inventories	CH4	4.026256968633421	t
2012	domestic_footprint	Electricity, gas & water	Changes in inventories	CH4	2.678202169061024	t
2012	domestic_footprint	Agriculture, forestry & fishing	Changes in inventories	CH4	1276.143312774395	t
2012	domestic_footprint	Food, beverages & tobacco	Changes in inventories	CH4	9234.127091280565	t
2012	domestic_footprint	Other manufacturing & recycl.	Changes in inventories	CH4	0.0	t
2012	domestic_footprint	Mining & quarrying	Changes in inventories	CH4	1197.5766119761784	t
2012	domestic_footprint	Transport equipment	Changes in inventories	CH4	2.7056166360322087	t
2012	domestic_footprint	Wood, paper & publishing	Changes in inventories	CH4	0.0	t
2012	domestic_footprint	Textiles & wearing apparel	Changes in inventories	CH4	0.0	t
2012	domestic_footprint	Wholesale, retail , Hospitality	Changes in inventories	CO2	137.65101618687797	kt
2012	domestic_footprint	Business Services	Changes in inventories	CO2	272.5158051768333	kt
2012	domestic_footprint	Transport	Changes in inventories	CO2	726.0805244094968	kt
2012	domestic_footprint	Metal & metal products	Changes in inventories	CO2	0.0	kt
2012	domestic_footprint	Petroleum, chem & non-met	Changes in inventories	CO2	1173.840793261679	kt
2012	domestic_footprint	Electrical & machinery	Changes in inventories	CO2	28.682961323564243	kt
2012	domestic_footprint	Construction	Changes in inventories	CO2	474.7377835967431	kt
2012	domestic_footprint	Recreation; other services	Changes in inventories	CO2	1.9115777700694376	kt
2012	domestic_footprint	Public services	Changes in inventories	CO2	0.8212046509755895	kt
2012	domestic_footprint	Electricity, gas & water	Changes in inventories	CO2	0.6557066393032487	kt
